Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Days Existed,Funding,Select Investors
Sift,"$1,000,000,000 ",4/22/2021,Artificial intelligence,San Francisco,United States,North America,2011,42297,"$157,000,000 ","Union Square Ventures, Insight Partners, Spark Capital"
Skydio,"$1,000,000,000 ",2/25/2021,"Supply chain, logistics, & delivery",Redwood City,United States,North America,2014,42238,"$340,000,000 ","Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel"
Slice,"$1,000,000,000 ",11/28/2021,Fintech,Bengaluru,India,Asia,2015,42513,"$249,000,000 ","Gunosy Capital, Blume Ventures, Das Capital"
SmartAsset,"$1,000,000,000 ",6/24/2021,Fintech,New York,United States,North America,2012,42359,"$161,000,000 ","Javelin Venture Partners, TTV Capital, Peterson Ventures"
SMS Assist,"$1,000,000,000 ",6/7/2016,Internet software & services,Chicago,United States,North America,2003,40525,"$255,000,000 ","Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital"
SnapLogic,"$1,000,000,000 ",12/13/2021,Internet software & services,San Mateo,United States,North America,2006,42537,"$371,000,000 ","Andreessen Horowitz, Triangle Peak Partners, Ignition Partners"
Snorkel AI,"$1,000,000,000 ",8/9/2021,Artificial intelligence,Palo Alto,United States,North America,2019,42398,"$135,000,000 ","Greylock Partners, Google Ventures, BlackRock"
Solo.io,"$1,000,000,000 ",10/7/2021,Internet software & services,Cambridge,United States,North America,2017,42459,"$172,000,000 ","True Ventures, Altimeter Capital, Redpoint Ventures"
SoundHound,"$1,000,000,000 ",5/3/2018,Artificial intelligence,Santa Clara,United States,North America,2005,41218,"$215,000,000 ","Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera"
Splashtop,"$1,000,000,000 ",1/27/2021,Internet software & services,San Jose,United States,North America,2006,42217,"$114,000,000 ","Storm Ventures, DFJ DragonFund, New Enterprise Associates"
Standard,"$1,000,000,000 ",2/17/2021,Artificial intelligence,San Francisco,United States,North America,2017,42227,"$239,000,000 ","CRV, Y Combinator, Initialized Capital"
Stytch,"$1,000,000,000 ",11/18/2021,Cybersecurity,San Francisco,United States,North America,2020,42498,"$126,000,000 ","Index Ventures, Benchmark, Thrive Capital"
Swile,"$1,000,000,000 ",10/11/2021,Fintech,Montpellier,France,Europe,2016,42464,"$326,000,000 ","Index Ventures, IDInvest Partners, Daphni"
Tarana Wireless,"$1,000,000,000 ",3/23/2022,Mobile & telecommunications,Milpitas,United States,North America,2009,42634,"$376,000,000 ","Prime Movers Lab, Khosla Ventures, I Squared Capital"
TechStyle Fashion Group,"$1,000,000,000 ",8/29/2014,E-commerce & direct-to-consumer,El Segundo,United States,North America,2010,39870,"$336,000,000 ","Matrix Partners, Passport Capital, Rho Ventures"
TensTorrent,"$1,000,000,000 ",5/5/2021,Artificial intelligence,Toronto,Canada,North America,2016,42305,"$235,000,000 ","Eclipse Ventures, Fidelity Investments, Moore Capital Management"
